Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2000","2000","ha","145507","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2000","2000","kg/ha","1943.7","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2000","2000","t","282826","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2001","2001","ha","143005","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2001","2001","kg/ha","2082.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2001","2001","t","297824","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2002","2002","ha","147397","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2002","2002","kg/ha","1659.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2002","2002","t","244600","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2003","2003","ha","119224","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2003","2003","kg/ha","2896.4","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2003","2003","t","345320","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2004","2004","ha","142144","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2004","2004","kg/ha","2794.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2004","2004","t","397160","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2005","2005","ha","144511","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2005","2005","kg/ha","2257.6","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2005","2005","t","326251","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2006","2006","ha","82177","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2006","2006","kg/ha","2469.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2006","2006","t","202940","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2007","2007","ha","100298","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2007","2007","kg/ha","2348.8","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2007","2007","t","235577","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2008","2008","ha","79270","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2008","2008","kg/ha","2988.7","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2008","2008","t","236912","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2009","2009","ha","77452","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2009","2009","kg/ha","2598.4","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2009","2009","t","201249","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2010","2010","ha","84118","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2010","2010","kg/ha","3311.5","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2010","2010","t","278558","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2011","2011","ha","88236","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2011","2011","kg/ha","3443.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2011","2011","t","303872","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2012","2012","ha","102749","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2012","2012","kg/ha","2579.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2012","2012","t","265025","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2013","2013","ha","88321","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2013","2013","kg/ha","3744.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2013","2013","t","330682","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2014","2014","ha","89451","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2014","2014","kg/ha","2812","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2014","2014","t","251539","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2015","2015","ha","86409","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2015","2015","kg/ha","2155.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2015","2015","t","186285","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2016","2016","ha","91055","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2016","2016","kg/ha","4169.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2016","2016","t","379687","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2017","2017","ha","121562","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2017","2017","kg/ha","2490.3","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2017","2017","t","302731","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2018","2018","ha","101370","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2018","2018","kg/ha","3259.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2018","2018","t","330374","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2019","2019","ha","113044","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2019","2019","kg/ha","3588.1","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2019","2019","t","405615","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0115","Barley","2020","2020","ha","104383","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","0115","Barley","2020","2020","kg/ha","3708.9","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0115","Barley","2020","2020","t","387146","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","11890376","A","Official figure",""
