Year,Crop,Price_real_2010USD_per_tonne
2000,Barley,97.07662979722
2000,Maize,111.27974694151
2000,Rice,254.39395843808
2000,Soybeans,266.25607507961
2000,Wheat,143.39806435395
2001,Barley,122.66475145817
2001,Maize,117.05514929921
2001,Rice,225.6964394533
2001,Soybeans,255.72386175677
2001,Wheat,165.58936188735
2002,Barley,143.98454016913
2002,Maize,131.17181994362
2002,Rice,253.53241719521
2002,Soybeans,281.00775193798
2002,Wheat,195.66265856237
2003,Barley,131.55048250021
2003,Maize,132.3412155656
2003,Rice,248.19978229926
2003,Soybeans,331.57498116051
2003,Wheat,183.55074101984
2004,Barley,116.41602680819
2004,Maize,131.48709827904
2004,Rice,279.5091928339
2004,Soybeans,360.46101375985
2004,Wheat,184.50156425672
2005,Barley,108.41177785158
2005,Maize,112.51059426074
2005,Rice,326.42056252376
2005,Soybeans,313.21265678449
2005,Wheat,173.71789481156
2006,Barley,129.67318489381
2006,Maize,135.49540503725
2006,Rice,339.01522171566
2006,Soybeans,298.72771414804
2006,Wheat,213.54760000667
2007,Barley,180.63629601977
2007,Maize,171.50258248629
2007,Rice,342.06428213816
2007,Soybeans,401.44957909812
2007,Wheat,267.42754950938
2008,Barley,194.99710950357
2008,Maize,216.97639573406
2008,Rice,632.29359136439
2008,Soybeans,507.50753671108
2008,Wheat,317.05732397121
2009,Barley,133.03150131664
2009,Maize,171.58369617804
2009,Rice,575.36082889857
2009,Soybeans,439.16908563135
2009,Wheat,232.29305591689
2010,Barley,158.38666512309
2010,Maize,185.91420833333
2010,Rice,488.90694444444
2010,Soybeans,447.10166666667
2010,Wheat,223.58210540486
2011,Barley,186.59664868982
2011,Maize,262.68378362152
2011,Rice,489.03923511047
2011,Soybeans,484.07705931796
2011,Wheat,284.82000410531
2012,Barley,217.98116491676
2012,Maize,270.72209392877
2012,Rice,510.73512957755
2012,Soybeans,540.24086001996
2012,Wheat,284.17152282597
2013,Barley,184.97381169324
2013,Maize,236.34553370194
2013,Rice,460.94912680334
2013,Soybeans,502.40470766895
2013,Wheat,284.50830696849
2014,Barley,134.78335001283
2014,Maize,178.18126515781
2014,Rice,390.60816012317
2014,Soybeans,447.90531177829
2014,Wheat,263.17406133949
2015,Barley,123.97123664612
2015,Maize,173.44459289534
2015,Rice,394.40073566977
2015,Soybeans,400.65648308981
2015,Wheat,208.8986702912
2016,Barley,110.51332797157
2016,Maize,169.26607167925
2016,Rice,421.3194370591
2016,Soybeans,431.1895139849
2016,Wheat,177.21210618951
2017,Barley,100.35835053563
2017,Maize,158.83599390139
2017,Rice,410.02843731798
2017,Soybeans,404.33560677699
2017,Wheat,179.04781120876
2018,Barley,123.58662182026
2018,Maize,161.41227842136
2018,Rice,412.98514300674
2018,Soybeans,387.22184043458
2018,Wheat,206.09545906146
2019,Barley,128.73641756579
2019,Maize,170.95907525801
2019,Rice,420.18496180137
2019,Soybeans,370.87521779922
2019,Wheat,202.74640990651
2020,Barley,99.69393726591737
2020,Maize,169.01532223357506
2020,Rice,507.40551583248214
2020,Soybeans,415.36245318148104
2020,Wheat,236.53267410623084
