Entity,Code,Year,Crop,Production_tonnes
Brazil,BRA,2000,Barley,282826.0
Brazil,BRA,2001,Barley,297824.0
Brazil,BRA,2002,Barley,244600.0
Brazil,BRA,2003,Barley,345320.0
Brazil,BRA,2004,Barley,397160.0
Brazil,BRA,2005,Barley,326251.0
Brazil,BRA,2006,Barley,202940.0
Brazil,BRA,2007,Barley,235577.0
Brazil,BRA,2008,Barley,236912.0
Brazil,BRA,2009,Barley,201249.0
Brazil,BRA,2010,Barley,278558.0
Brazil,BRA,2011,Barley,303872.0
Brazil,BRA,2012,Barley,265025.0
Brazil,BRA,2013,Barley,330682.0
Brazil,BRA,2014,Barley,251539.0
Brazil,BRA,2015,Barley,186285.0
Brazil,BRA,2016,Barley,379687.0
Brazil,BRA,2017,Barley,302731.0
Brazil,BRA,2018,Barley,330374.0
Brazil,BRA,2019,Barley,405615.0
Brazil,BRA,2020,Barley,387146.0
Brazil,BRA,2000,Maize,32321000.0
Brazil,BRA,2001,Maize,41962476.0
Brazil,BRA,2002,Maize,35940830.0
Brazil,BRA,2003,Maize,48327324.0
Brazil,BRA,2004,Maize,41787560.0
Brazil,BRA,2005,Maize,35113310.0
Brazil,BRA,2006,Maize,42661676.0
Brazil,BRA,2007,Maize,52112216.0
Brazil,BRA,2008,Maize,58933348.0
Brazil,BRA,2009,Maize,50719824.0
Brazil,BRA,2010,Maize,55364270.0
Brazil,BRA,2011,Maize,55660236.0
Brazil,BRA,2012,Maize,71072810.0
Brazil,BRA,2013,Maize,80273170.0
Brazil,BRA,2014,Maize,79881620.0
Brazil,BRA,2015,Maize,85283070.0
Brazil,BRA,2016,Maize,64188310.0
Brazil,BRA,2017,Maize,97910660.0
Brazil,BRA,2018,Maize,82366530.0
Brazil,BRA,2019,Maize,101126410.0
Brazil,BRA,2020,Maize,103990936.0
Brazil,BRA,2000,Rice,11134588.0
Brazil,BRA,2001,Rice,10184185.0
Brazil,BRA,2002,Rice,10445986.0
Brazil,BRA,2003,Rice,10334603.0
Brazil,BRA,2004,Rice,13277008.0
Brazil,BRA,2005,Rice,13192863.0
Brazil,BRA,2006,Rice,11526685.0
Brazil,BRA,2007,Rice,11060741.0
Brazil,BRA,2008,Rice,12061465.0
Brazil,BRA,2009,Rice,12651144.0
Brazil,BRA,2010,Rice,11235986.0
Brazil,BRA,2011,Rice,13476994.0
Brazil,BRA,2012,Rice,11549881.0
Brazil,BRA,2013,Rice,11782549.0
Brazil,BRA,2014,Rice,12175602.0
Brazil,BRA,2015,Rice,12301201.0
Brazil,BRA,2016,Rice,10622189.0
Brazil,BRA,2017,Rice,12464766.0
Brazil,BRA,2018,Rice,11808412.0
Brazil,BRA,2019,Rice,10368639.0
Brazil,BRA,2020,Rice,11091011.0
Brazil,BRA,2000,Soybeans,32820826.0
Brazil,BRA,2001,Soybeans,37907260.0
Brazil,BRA,2002,Soybeans,42107616.0
Brazil,BRA,2003,Soybeans,51919440.0
Brazil,BRA,2004,Soybeans,49549940.0
Brazil,BRA,2005,Soybeans,51182070.0
Brazil,BRA,2006,Soybeans,52464640.0
Brazil,BRA,2007,Soybeans,57857172.0
Brazil,BRA,2008,Soybeans,59833104.0
Brazil,BRA,2009,Soybeans,57345384.0
Brazil,BRA,2010,Soybeans,68756344.0
Brazil,BRA,2011,Soybeans,74815450.0
Brazil,BRA,2012,Soybeans,65848856.0
Brazil,BRA,2013,Soybeans,81724480.0
Brazil,BRA,2014,Soybeans,86760520.0
Brazil,BRA,2015,Soybeans,97464936.0
Brazil,BRA,2016,Soybeans,96394820.0
Brazil,BRA,2017,Soybeans,114732104.0
Brazil,BRA,2018,Soybeans,117912450.0
Brazil,BRA,2019,Soybeans,114316830.0
Brazil,BRA,2020,Soybeans,121820950.0
Brazil,BRA,2000,Wheat,1725792.0
Brazil,BRA,2001,Wheat,3366599.0
Brazil,BRA,2002,Wheat,3105660.0
Brazil,BRA,2003,Wheat,6153500.0
Brazil,BRA,2004,Wheat,5818846.0
Brazil,BRA,2005,Wheat,4658790.0
Brazil,BRA,2006,Wheat,2484848.0
Brazil,BRA,2007,Wheat,4114057.0
Brazil,BRA,2008,Wheat,6027131.0
Brazil,BRA,2009,Wheat,5055525.0
Brazil,BRA,2010,Wheat,6171250.0
Brazil,BRA,2011,Wheat,5690043.0
Brazil,BRA,2012,Wheat,4418388.0
Brazil,BRA,2013,Wheat,5738473.0
Brazil,BRA,2014,Wheat,6261895.0
Brazil,BRA,2015,Wheat,5508451.0
Brazil,BRA,2016,Wheat,6834421.0
Brazil,BRA,2017,Wheat,4342812.0
Brazil,BRA,2018,Wheat,5469236.0
Brazil,BRA,2019,Wheat,5590815.0
Brazil,BRA,2020,Wheat,6344079.0
China,CHN,2000,Barley,2646000.0
China,CHN,2001,Barley,2893000.0
China,CHN,2002,Barley,3322000.0
China,CHN,2003,Barley,3249500.0
China,CHN,2004,Barley,3221800.0
China,CHN,2005,Barley,3444100.0
China,CHN,2006,Barley,3129600.0
China,CHN,2007,Barley,2780400.0
China,CHN,2008,Barley,2607700.0
China,CHN,2009,Barley,2210300.0
China,CHN,2010,Barley,1951700.0
China,CHN,2011,Barley,1903700.0
China,CHN,2012,Barley,1684600.0
China,CHN,2013,Barley,1535200.0
China,CHN,2014,Barley,1461400.0
China,CHN,2015,Barley,1411400.0
China,CHN,2016,Barley,1192400.0
China,CHN,2017,Barley,1085200.0
China,CHN,2018,Barley,956500.0
China,CHN,2019,Barley,976361.25
China,CHN,2020,Barley,1006020.44
China,CHN,2000,Maize,106000000.0
China,CHN,2001,Maize,114090000.0
China,CHN,2002,Maize,120000000.0
China,CHN,2003,Maize,115830000.0
China,CHN,2004,Maize,130290000.0
China,CHN,2005,Maize,139365000.0
China,CHN,2006,Maize,151603000.0
China,CHN,2007,Maize,152300000.0
China,CHN,2008,Maize,165914000.0
China,CHN,2009,Maize,163974000.0
China,CHN,2010,Maize,177425000.0
China,CHN,2011,Maize,192781000.0
China,CHN,2012,Maize,205614100.0
China,CHN,2013,Maize,218489000.0
China,CHN,2014,Maize,215646300.0
China,CHN,2015,Maize,264992000.0
China,CHN,2016,Maize,263613000.0
China,CHN,2017,Maize,259071000.0
China,CHN,2018,Maize,257173900.0
China,CHN,2019,Maize,260778900.0
