Entity,Code,M49,Year,Crop,ItemCode,Element,ElementCode,Unit,Value,Flag,FlagDescription,Note
Brazil,BRA,76,2000,Barley,115,Area harvested,5312,ha,145507.0,A,Official figure,
Brazil,BRA,76,2000,Barley,115,Production,5510,t,282826.0,A,Official figure,
Brazil,BRA,76,2000,Barley,115,Yield,5412,kg/ha,1943.7,A,Official figure,
Brazil,BRA,76,2000,Maize,112,Area harvested,5312,ha,11890376.0,A,Official figure,
Brazil,BRA,76,2000,Maize,112,Production,5510,t,32321000.0,A,Official figure,
Brazil,BRA,76,2000,Maize,112,Yield,5412,kg/ha,2718.2,A,Official figure,
Brazil,BRA,76,2000,Rice,113,Area harvested,5312,ha,3664804.0,A,Official figure,
Brazil,BRA,76,2000,Rice,113,Production,5510,t,11134588.0,A,Official figure,
Brazil,BRA,76,2000,Rice,113,Yield,5412,kg/ha,3038.2,A,Official figure,
Brazil,BRA,76,2000,Soybeans,141,Area harvested,5312,ha,13656771.0,A,Official figure,
Brazil,BRA,76,2000,Soybeans,141,Production,5510,t,32820826.0,A,Official figure,
Brazil,BRA,76,2000,Soybeans,141,Yield,5412,kg/ha,2403.3,A,Official figure,
Brazil,BRA,76,2000,Wheat,111,Area harvested,5312,ha,1138687.0,A,Official figure,
Brazil,BRA,76,2000,Wheat,111,Production,5510,t,1725792.0,A,Official figure,
Brazil,BRA,76,2000,Wheat,111,Yield,5412,kg/ha,1515.6,A,Official figure,
Brazil,BRA,76,2001,Barley,115,Area harvested,5312,ha,143005.0,A,Official figure,
Brazil,BRA,76,2001,Barley,115,Production,5510,t,297824.0,A,Official figure,
Brazil,BRA,76,2001,Barley,115,Yield,5412,kg/ha,2082.6,A,Official figure,
Brazil,BRA,76,2001,Maize,112,Area harvested,5312,ha,12335175.0,A,Official figure,
Brazil,BRA,76,2001,Maize,112,Production,5510,t,41962475.0,A,Official figure,
Brazil,BRA,76,2001,Maize,112,Yield,5412,kg/ha,3401.9,A,Official figure,
Brazil,BRA,76,2001,Rice,113,Area harvested,5312,ha,3142826.0,A,Official figure,
Brazil,BRA,76,2001,Rice,113,Production,5510,t,10184185.0,A,Official figure,
Brazil,BRA,76,2001,Rice,113,Yield,5412,kg/ha,3240.5,A,Official figure,
Brazil,BRA,76,2001,Soybeans,141,Area harvested,5312,ha,13985099.0,A,Official figure,
Brazil,BRA,76,2001,Soybeans,141,Production,5510,t,37907259.0,A,Official figure,
Brazil,BRA,76,2001,Soybeans,141,Yield,5412,kg/ha,2710.5,A,Official figure,
Brazil,BRA,76,2001,Wheat,111,Area harvested,5312,ha,1727492.0,A,Official figure,
Brazil,BRA,76,2001,Wheat,111,Production,5510,t,3366599.0,A,Official figure,
Brazil,BRA,76,2001,Wheat,111,Yield,5412,kg/ha,1948.8,A,Official figure,
Brazil,BRA,76,2002,Barley,115,Area harvested,5312,ha,147397.0,A,Official figure,
Brazil,BRA,76,2002,Barley,115,Production,5510,t,244600.0,A,Official figure,
Brazil,BRA,76,2002,Barley,115,Yield,5412,kg/ha,1659.5,A,Official figure,
Brazil,BRA,76,2002,Maize,112,Area harvested,5312,ha,11760965.0,A,Official figure,
Brazil,BRA,76,2002,Maize,112,Production,5510,t,35940832.0,A,Official figure,
Brazil,BRA,76,2002,Maize,112,Yield,5412,kg/ha,3055.9,A,Official figure,
Brazil,BRA,76,2002,Rice,113,Area harvested,5312,ha,3142051.0,A,Official figure,
Brazil,BRA,76,2002,Rice,113,Production,5510,t,10445986.0,A,Official figure,
Brazil,BRA,76,2002,Rice,113,Yield,5412,kg/ha,3324.6,A,Official figure,
Brazil,BRA,76,2002,Soybeans,141,Area harvested,5312,ha,16359441.0,A,Official figure,
Brazil,BRA,76,2002,Soybeans,141,Production,5510,t,42107618.0,A,Official figure,
Brazil,BRA,76,2002,Soybeans,141,Yield,5412,kg/ha,2573.9,A,Official figure,
Brazil,BRA,76,2002,Wheat,111,Area harvested,5312,ha,2104900.0,A,Official figure,
Brazil,BRA,76,2002,Wheat,111,Production,5510,t,3105660.0,A,Official figure,
Brazil,BRA,76,2002,Wheat,111,Yield,5412,kg/ha,1475.4,A,Official figure,
Brazil,BRA,76,2003,Barley,115,Area harvested,5312,ha,119224.0,A,Official figure,
Brazil,BRA,76,2003,Barley,115,Production,5510,t,345320.0,A,Official figure,
Brazil,BRA,76,2003,Barley,115,Yield,5412,kg/ha,2896.4,A,Official figure,
Brazil,BRA,76,2003,Maize,112,Area harvested,5312,ha,12965678.0,A,Official figure,
Brazil,BRA,76,2003,Maize,112,Production,5510,t,48327323.0,A,Official figure,
Brazil,BRA,76,2003,Maize,112,Yield,5412,kg/ha,3727.3,A,Official figure,
Brazil,BRA,76,2003,Rice,113,Area harvested,5312,ha,3180859.0,A,Official figure,
Brazil,BRA,76,2003,Rice,113,Production,5510,t,10334603.0,A,Official figure,
Brazil,BRA,76,2003,Rice,113,Yield,5412,kg/ha,3249.0,A,Official figure,
Brazil,BRA,76,2003,Soybeans,141,Area harvested,5312,ha,18524768.0,A,Official figure,
Brazil,BRA,76,2003,Soybeans,141,Production,5510,t,51919440.0,A,Official figure,
Brazil,BRA,76,2003,Soybeans,141,Yield,5412,kg/ha,2802.7,A,Official figure,
Brazil,BRA,76,2003,Wheat,111,Area harvested,5312,ha,2560230.0,A,Official figure,
Brazil,BRA,76,2003,Wheat,111,Production,5510,t,6153500.0,A,Official figure,
Brazil,BRA,76,2003,Wheat,111,Yield,5412,kg/ha,2403.5,A,Official figure,
Brazil,BRA,76,2004,Barley,115,Area harvested,5312,ha,142144.0,A,Official figure,
Brazil,BRA,76,2004,Barley,115,Production,5510,t,397160.0,A,Official figure,
Brazil,BRA,76,2004,Barley,115,Yield,5412,kg/ha,2794.1,A,Official figure,
Brazil,BRA,76,2004,Maize,112,Area harvested,5312,ha,12410677.0,A,Official figure,
Brazil,BRA,76,2004,Maize,112,Production,5510,t,41787558.0,A,Official figure,
Brazil,BRA,76,2004,Maize,112,Yield,5412,kg/ha,3367.1,A,Official figure,
Brazil,BRA,76,2004,Rice,113,Area harvested,5312,ha,3733148.0,A,Official figure,
Brazil,BRA,76,2004,Rice,113,Production,5510,t,13277008.0,A,Official figure,
Brazil,BRA,76,2004,Rice,113,Yield,5412,kg/ha,3556.5,A,Official figure,
Brazil,BRA,76,2004,Soybeans,141,Area harvested,5312,ha,21538990.0,A,Official figure,
Brazil,BRA,76,2004,Soybeans,141,Production,5510,t,49549940.0,A,Official figure,
Brazil,BRA,76,2004,Soybeans,141,Yield,5412,kg/ha,2300.5,A,Official figure,
Brazil,BRA,76,2004,Wheat,111,Area harvested,5312,ha,2807224.0,A,Official figure,
Brazil,BRA,76,2004,Wheat,111,Production,5510,t,5818846.0,A,Official figure,
Brazil,BRA,76,2004,Wheat,111,Yield,5412,kg/ha,2072.8,A,Official figure,
Brazil,BRA,76,2005,Barley,115,Area harvested,5312,ha,144511.0,A,Official figure,
Brazil,BRA,76,2005,Barley,115,Production,5510,t,326251.0,A,Official figure,
Brazil,BRA,76,2005,Barley,115,Yield,5412,kg/ha,2257.6,A,Official figure,
Brazil,BRA,76,2005,Maize,112,Area harvested,5312,ha,11549425.0,A,Official figure,
Brazil,BRA,76,2005,Maize,112,Production,5510,t,35113312.0,A,Official figure,
Brazil,BRA,76,2005,Maize,112,Yield,5412,kg/ha,3040.3,A,Official figure,
Brazil,BRA,76,2005,Rice,113,Area harvested,5312,ha,3915855.0,A,Official figure,
Brazil,BRA,76,2005,Rice,113,Production,5510,t,13192863.0,A,Official figure,
Brazil,BRA,76,2005,Rice,113,Yield,5412,kg/ha,3369.1,A,Official figure,
Brazil,BRA,76,2005,Soybeans,141,Area harvested,5312,ha,22948874.0,A,Official figure,
Brazil,BRA,76,2005,Soybeans,141,Production,5510,t,51182072.0,A,Official figure,
Brazil,BRA,76,2005,Soybeans,141,Yield,5412,kg/ha,2230.3,A,Official figure,
