Entity,Code,Year,Annual precipitation anomaly
Brazil,BRA,2000,134.43338
Brazil,BRA,2001,-20.391514
Brazil,BRA,2002,-69.84886
Brazil,BRA,2003,-75.531204
Brazil,BRA,2004,21.796202
Brazil,BRA,2005,-9.086395
Brazil,BRA,2006,26.187695
Brazil,BRA,2007,-109.2215
Brazil,BRA,2008,112.75572
Brazil,BRA,2009,179.54688
Brazil,BRA,2010,-98.96671
Brazil,BRA,2011,121.85112
Brazil,BRA,2012,-144.73996
Brazil,BRA,2013,89.259605
Brazil,BRA,2014,-26.162172
Brazil,BRA,2015,-174.89424
Brazil,BRA,2016,-43.236607
Brazil,BRA,2017,-36.259674
Brazil,BRA,2018,14.582962
Brazil,BRA,2019,-115.53129
Brazil,BRA,2020,-117.96526
China,CHN,2000,36.951534
China,CHN,2001,-13.0098505
China,CHN,2002,36.840347
China,CHN,2003,2.662705
China,CHN,2004,-48.719822
China,CHN,2005,-12.652363
China,CHN,2006,-72.76104
China,CHN,2007,-65.19011
China,CHN,2008,-29.30179
China,CHN,2009,-93.59744
China,CHN,2010,20.79672
China,CHN,2011,-122.426605
China,CHN,2012,11.119934
China,CHN,2013,-40.20245
China,CHN,2014,-47.95149
China,CHN,2015,-11.827295
China,CHN,2016,47.07081
China,CHN,2017,-37.535088
China,CHN,2018,-17.502455
China,CHN,2019,-46.978176
China,CHN,2020,12.813131
Egypt,EGY,2000,-0.6037291
Egypt,EGY,2001,-5.3435874
Egypt,EGY,2002,-2.741156
Egypt,EGY,2003,-5.005772
Egypt,EGY,2004,-3.0221334
Egypt,EGY,2005,-1.7199464
Egypt,EGY,2006,-2.9755614
Egypt,EGY,2007,-3.773851
Egypt,EGY,2008,-1.3516312
Egypt,EGY,2009,-5.8325624
Egypt,EGY,2010,-2.266924
Egypt,EGY,2011,0.115795374
Egypt,EGY,2012,-2.5156984
Egypt,EGY,2013,-3.199196
Egypt,EGY,2014,1.6711714
Egypt,EGY,2015,3.5245812
Egypt,EGY,2016,-1.9796417
Egypt,EGY,2017,-4.382731
Egypt,EGY,2018,2.5871086
Egypt,EGY,2019,3.5975537
Egypt,EGY,2020,15.399464
France,FRA,2000,134.18098
France,FRA,2001,43.00804
France,FRA,2002,66.51306
France,FRA,2003,-145.0822
France,FRA,2004,-90.10028
France,FRA,2005,-137.30603
France,FRA,2006,28.651817
France,FRA,2007,14.34341
France,FRA,2008,91.46849
France,FRA,2009,-95.38104
France,FRA,2010,47.753082
France,FRA,2011,-119.14075
France,FRA,2012,30.59149
France,FRA,2013,135.15216
France,FRA,2014,58.391266
France,FRA,2015,-122.07558
France,FRA,2016,22.37043
France,FRA,2017,-19.925354
France,FRA,2018,153.33905
France,FRA,2019,5.709839
France,FRA,2020,64.21871
India,IND,2000,-105.734505
India,IND,2001,-77.14749
India,IND,2002,-185.1516
India,IND,2003,40.666023
India,IND,2004,-80.351234
India,IND,2005,-28.946852
India,IND,2006,-4.0922074
India,IND,2007,109.854805
India,IND,2008,76.347404
India,IND,2009,-69.48915
India,IND,2010,166.15286
India,IND,2011,65.32326
India,IND,2012,-51.510548
India,IND,2013,165.24393
India,IND,2014,-83.062416
India,IND,2015,-25.082855
India,IND,2016,27.995834
India,IND,2017,21.034748
India,IND,2018,-75.054436
India,IND,2019,189.58086
India,IND,2020,130.30273
Italy,ITA,2000,2.2754865
Italy,ITA,2001,-163.85739
Italy,ITA,2002,133.53331
Italy,ITA,2003,-138.7471
Italy,ITA,2004,47.197983
Italy,ITA,2005,-27.335033
Italy,ITA,2006,-175.41472
Italy,ITA,2007,-160.48311
Italy,ITA,2008,126.65264
Italy,ITA,2009,115.78628
Italy,ITA,2010,316.03748
Italy,ITA,2011,-128.80266
Italy,ITA,2012,3.4582462
Italy,ITA,2013,188.26083
Italy,ITA,2014,233.4798
Italy,ITA,2015,-52.22825
Italy,ITA,2016,68.88018
Italy,ITA,2017,-156.45953
Italy,ITA,2018,205.66837
Italy,ITA,2019,164.0344
Italy,ITA,2020,-25.456993
Spain,ESP,2000,9.019974
Spain,ESP,2001,1.3049316
Spain,ESP,2002,43.399498
Spain,ESP,2003,98.55076
Spain,ESP,2004,-52.457222
Spain,ESP,2005,-173.3582
Spain,ESP,2006,13.688181
Spain,ESP,2007,-67.069244
Spain,ESP,2008,62.163086
Spain,ESP,2009,-0.9552078
Spain,ESP,2010,168.07547
Spain,ESP,2011,-73.10876
Spain,ESP,2012,-72.50775
Spain,ESP,2013,85.08821
Spain,ESP,2014,62.295475
Spain,ESP,2015,-104.981476
Spain,ESP,2016,58.45365
Spain,ESP,2017,-151.36266
Spain,ESP,2018,183.27429
Spain,ESP,2019,-24.646267
Spain,ESP,2020,30.326515
Turkey,TUR,2000,-60.263054
Turkey,TUR,2001,22.448471
Turkey,TUR,2002,-27.029503
Turkey,TUR,2003,7.6376104
Turkey,TUR,2004,-40.983326
Turkey,TUR,2005,20.179893
Turkey,TUR,2006,-18.181068
Turkey,TUR,2007,-55.932102
Turkey,TUR,2008,-159.26944
Turkey,TUR,2009,123.01889
Turkey,TUR,2010,58.57293
Turkey,TUR,2011,17.327
Turkey,TUR,2012,81.59457
Turkey,TUR,2013,-97.467316
Turkey,TUR,2014,5.066388
Turkey,TUR,2015,47.854294
Turkey,TUR,2016,29.967918
Turkey,TUR,2017,-56.29811
Turkey,TUR,2018,90.86171
Turkey,TUR,2019,17.333933
Turkey,TUR,2020,-89.29348
Ukraine,UKR,2000,11.510252
Ukraine,UKR,2001,73.08524
Ukraine,UKR,2002,-18.864614
Ukraine,UKR,2003,-38.12668
Ukraine,UKR,2004,97.04358
Ukraine,UKR,2005,23.589186
Ukraine,UKR,2006,-7.950508
Ukraine,UKR,2007,-50.90409
Ukraine,UKR,2008,19.219526
Ukraine,UKR,2009,-36.62522
Ukraine,UKR,2010,59.290257
Ukraine,UKR,2011,-122.88059
Ukraine,UKR,2012,-18.322426
Ukraine,UKR,2013,-11.44574
Ukraine,UKR,2014,-65.069046
Ukraine,UKR,2015,-80.522705
Ukraine,UKR,2016,70.63563
Ukraine,UKR,2017,-41.102207
Ukraine,UKR,2018,-43.832367
Ukraine,UKR,2019,-99.85398
Ukraine,UKR,2020,-65.85773
United States,USA,2000,-58.31225
United States,USA,2001,-57.391342
United States,USA,2002,-44.831997
United States,USA,2003,-23.084671
United States,USA,2004,29.365301
United States,USA,2005,-36.708107
United States,USA,2006,-39.81528
United States,USA,2007,-78.87774
United States,USA,2008,-11.606821
United States,USA,2009,10.088589
United States,USA,2010,-26.129772
United States,USA,2011,-29.699356
United States,USA,2012,-103.09569
United States,USA,2013,-17.844475
United States,USA,2014,-32.24209
United States,USA,2015,39.881092
United States,USA,2016,-2.9491036
United States,USA,2017,42.85948
United States,USA,2018,94.73401
United States,USA,2019,108.95589
United States,USA,2020,-15.660931
