Entity,Code,Year,GrossProductionValue_currentUSD
Brazil,BRA,2000,43120824000
Brazil,BRA,2001,37965560000
Brazil,BRA,2002,38260896000
Brazil,BRA,2003,49188016000
Brazil,BRA,2004,58089283000
Brazil,BRA,2005,63888612000
Brazil,BRA,2006,74274355000
Brazil,BRA,2007,101917687000
Brazil,BRA,2008,131690328000
Brazil,BRA,2009,123570293000
Brazil,BRA,2010,153891002000
Brazil,BRA,2011,193749890000
Brazil,BRA,2012,188104866000
Brazil,BRA,2013,196984646000
Brazil,BRA,2014,196866417000
Brazil,BRA,2015,145836958000
Brazil,BRA,2016,149330665000
Brazil,BRA,2017,174148098000
Brazil,BRA,2018,143381121000
Brazil,BRA,2019,140029744000
Brazil,BRA,2020,134970627000
China,CHN,2000,311214975000
China,CHN,2001,285861221000
China,CHN,2002,305334108000
China,CHN,2003,361837575000
China,CHN,2004,465033565000
China,CHN,2005,503153029000
China,CHN,2006,563638838000
China,CHN,2007,653442808000
China,CHN,2008,811164556000
China,CHN,2009,832734800000
China,CHN,2010,926751238000
China,CHN,2011,1212468417000
China,CHN,2012,1252674661000
China,CHN,2013,1304338638000
China,CHN,2014,1233678530000
China,CHN,2015,1274192304000
China,CHN,2016,1256254253000
China,CHN,2017,1182470947000
China,CHN,2018,1228713854000
China,CHN,2019,1572131310000
China,CHN,2020,1589925531000
Egypt,EGY,2000,14744954000
Egypt,EGY,2001,13351462000
Egypt,EGY,2002,13371076000
Egypt,EGY,2003,11984207000
Egypt,EGY,2004,13335216000
Egypt,EGY,2005,16206856000
Egypt,EGY,2006,18539627000
Egypt,EGY,2007,21941991000
Egypt,EGY,2008,26577327000
Egypt,EGY,2009,25836260000
Egypt,EGY,2010,28221102000
Egypt,EGY,2011,31939005000
Egypt,EGY,2012,33630444000
Egypt,EGY,2013,31388592000
Egypt,EGY,2014,31704344000
Egypt,EGY,2015,31812735000
Egypt,EGY,2016,26194607000
Egypt,EGY,2017,20214310000
Egypt,EGY,2018,19789172000
Egypt,EGY,2019,34899441000
Egypt,EGY,2020,43162443000
France,FRA,2000,43373947000
France,FRA,2001,41264926000
France,FRA,2002,43379201000
France,FRA,2003,50079305000
France,FRA,2004,53937668000
France,FRA,2005,53716519000
France,FRA,2006,57649846000
France,FRA,2007,68347578000
France,FRA,2008,74523376000
France,FRA,2009,63493769000
France,FRA,2010,69348268000
France,FRA,2011,78275959000
France,FRA,2012,76054880000
France,FRA,2013,75966492000
France,FRA,2014,76804681000
France,FRA,2015,65535539000
France,FRA,2016,63577529000
France,FRA,2017,66353533000
France,FRA,2018,71134241000
France,FRA,2019,67014126000
France,FRA,2020,71354614000
India,IND,2000,99968684000
India,IND,2001,100043636000
India,IND,2002,96939877000
India,IND,2003,113345867000
India,IND,2004,133682408000
India,IND,2005,152725886000
India,IND,2006,175983065000
India,IND,2007,247738175000
India,IND,2008,251378933000
India,IND,2009,247839042000
India,IND,2010,331957419000
India,IND,2011,375528954000
India,IND,2012,362652639000
India,IND,2013,329725502000
India,IND,2014,352879487000
India,IND,2015,354070791000
India,IND,2016,370778206000
India,IND,2017,418840689000
India,IND,2018,414581988000
India,IND,2019,442229965000
India,IND,2020,427338885000
Italy,ITA,2000,35195378000
Italy,ITA,2001,34608450000
Italy,ITA,2002,34121346000
Italy,ITA,2003,41270888000
Italy,ITA,2004,48662523000
Italy,ITA,2005,44831395000
Italy,ITA,2006,47815597000
Italy,ITA,2007,53842221000
Italy,ITA,2008,60497444000
Italy,ITA,2009,53257985000
Italy,ITA,2010,50853625000
Italy,ITA,2011,55553702000
Italy,ITA,2012,54125021000
Italy,ITA,2013,54967011000
Italy,ITA,2014,51336983000
Italy,ITA,2015,45737627000
Italy,ITA,2016,44472160000
Italy,ITA,2017,46674255000
Italy,ITA,2018,49478189000
Italy,ITA,2019,47951850000
Italy,ITA,2020,49541020000
Spain,ESP,2000,27693968000
Spain,ESP,2001,28077787000
Spain,ESP,2002,28471584000
Spain,ESP,2003,38727993000
Spain,ESP,2004,39768747000
Spain,ESP,2005,37980767000
Spain,ESP,2006,39985076000
Spain,ESP,2007,48026856000
Spain,ESP,2008,50940870000
Spain,ESP,2009,42687291000
Spain,ESP,2010,45608557000
Spain,ESP,2011,47219439000
Spain,ESP,2012,42337892000
Spain,ESP,2013,51366669000
Spain,ESP,2014,47208815000
Spain,ESP,2015,41594972000
Spain,ESP,2016,43182480000
Spain,ESP,2017,44941296000
Spain,ESP,2018,53564412000
Spain,ESP,2019,46059674000
Spain,ESP,2020,51945926000
Turkey,TUR,2000,31958783000
Turkey,TUR,2001,22788152000
Turkey,TUR,2002,29825770000
Turkey,TUR,2003,40732218000
Turkey,TUR,2004,47598178000
Turkey,TUR,2005,56634256000
Turkey,TUR,2006,58062615000
Turkey,TUR,2007,67223496000
Turkey,TUR,2008,77179424000
Turkey,TUR,2009,67794375000
Turkey,TUR,2010,82993765000
Turkey,TUR,2011,81002767000
Turkey,TUR,2012,80036132000
Turkey,TUR,2013,77821131000
Turkey,TUR,2014,77368393000
